focus,entity_type,source
Hemophilia,disease,ADAM
Hemophilia - resources,disease,ADAM
Hemophilia A,disease,ADAM
Hemophilia B,disease,ADAM
Hemorrhagic,disease,ADAM
Hemorrhagic disease of the newborn,disease,ADAM
Hemorrhoid removal - discharge,disease,ADAM
Hemorrhoid surgery,disease,ADAM
Hemorrhoids,disease,ADAM
Hemothorax,disease,ADAM
Hemovac drain,disease,ADAM
Henoch-Schnlein purpura,disease,ADAM
Hepatic,disease,ADAM
Hepatic hemangioma,disease,ADAM
Hepatic ischemia,disease,ADAM
Hepatic vein obstruction (Budd-Chiari),disease,ADAM
Hepatitis,disease,ADAM
Hepatitis A,disease,ADAM
Hepatitis A - children,disease,ADAM
Hepatitis A vaccine - what you need to know,disease,ADAM
Hepatitis B,disease,ADAM
Hepatitis B - children,disease,ADAM
Hepatitis B vaccine - what you need to know,disease,ADAM
Hepatitis C,disease,ADAM
Hepatitis C - children,disease,ADAM
Hepatitis virus panel,disease,ADAM
Hepatocerebral degeneration,disease,ADAM
Hepatomegaly,disease,ADAM
Hepatorenal syndrome,disease,ADAM
Herbal remedies and supplements for weight loss,disease,ADAM
Hereditary amyloidosis,disease,ADAM
Hereditary angioedema,disease,ADAM
Hereditary elliptocytosis,disease,ADAM
Hereditary fructose intolerance,disease,ADAM
Hereditary ovalocytosis,disease,ADAM
Hereditary urea cycle abnormality,disease,ADAM
Hernia,disease,ADAM
Herniated disk,disease,ADAM
Heroin overdose,disease,ADAM
Herpangina,disease,ADAM
Herpes - oral,disease,ADAM
Herpes - resources,disease,ADAM
Herpes viral culture of lesion,disease,ADAM
Herpetic stomatitis,disease,ADAM
Heterochromia,disease,ADAM
Hiatal hernia,disease,ADAM
Hiccups,disease,ADAM
High arch,disease,ADAM
High blood cholesterol levels,disease,ADAM
High blood pressure,disease,ADAM
High blood pressure - infants,disease,ADAM
High blood pressure - what to ask your doctor,disease,ADAM
High blood pressure and diet,disease,ADAM
High blood pressure and eye disease,disease,ADAM
High blood pressure medicines,disease,ADAM
High blood sugar,disease,ADAM
High potassium level,disease,ADAM
High-fiber foods,disease,ADAM
Hip arthroscopy,disease,ADAM
Hip flexor strain - aftercare,disease,ADAM
Hip fracture - discharge,disease,ADAM
Hip fracture surgery,disease,ADAM
Hip joint injection,disease,ADAM
Hip joint replacement,disease,ADAM
Hip or knee replacement - after - what to ask your doctor,disease,ADAM
Hip or knee replacement - before - what to ask your doctor,disease,ADAM
Hip or knee replacement - in the hospital after,disease,ADAM
Hip pain,disease,ADAM
Hip replacement - discharge,disease,ADAM
Hirschsprung's disease,disease,ADAM
His bundle electrography,disease,ADAM
Histiocyte,disease,ADAM
Histiocytosis,disease,ADAM
Histocompatibility antigen test,disease,ADAM
Histoplasma complement fixation,disease,ADAM
Histoplasma skin test,disease,ADAM
Histoplasmosis,disease,ADAM
Histoplasmosis - acute (primary) pulmonary,disease,ADAM
Histrionic personality disorder,disease,ADAM
HIV/AIDS,disease,ADAM
Hives,disease,ADAM
HLA-B27 antigen,disease,ADAM
Hoarseness,disease,ADAM
Hodgkin lymphoma,disease,ADAM
Holter monitor (24h),disease,ADAM
Home apnea monitor use - infants,disease,ADAM
Home blood sugar testing,disease,ADAM
Home health care,disease,ADAM
Home safety - children,disease,ADAM
Home vision tests,disease,ADAM
Homocystinuria,disease,ADAM
Hookworm infection,disease,ADAM
Hormonal effects in newborns,disease,ADAM
Hormone levels,disease,ADAM
Hormone therapy for breast cancer,disease,ADAM
Hormone therapy for prostate cancer,disease,ADAM
Horner syndrome,disease,ADAM
Hospice care,disease,ADAM
Hospital-acquired pneumonia,disease,ADAM
Hospitals as health educators,disease,ADAM
Hot tub folliculitis,disease,ADAM
Household glue poisoning,disease,ADAM
How childhood cancers are different from adult cancers,disease,ADAM
How to avoid exercise injuries,disease,ADAM
How to avoid overheating during exercise,disease,ADAM
How to breathe when you are short of breath,disease,ADAM
How to care for pressure sores,disease,ADAM
How to choose a health plan,disease,ADAM
How to choose the best hospital for surgery,disease,ADAM
How to give a heparin shot,disease,ADAM
How to make a sling,disease,ADAM
How to make a splint,disease,ADAM
How to prevent frostbite and hypothermia,disease,ADAM
How to read food labels,disease,ADAM
How to Save Money on Infant Formula,disease,ADAM
How to save money on medicines,disease,ADAM
How to stop drinking,disease,ADAM
How to stop smoking: Dealing with a slip up,disease,ADAM
How to stop smoking: Dealing with cravings,disease,ADAM
How to take statins,disease,ADAM
How to use a nebulizer,disease,ADAM
How to use an inhaler - no spacer,disease,ADAM
How to use an inhaler - with spacer,disease,ADAM
How to use your peak flow meter,disease,ADAM
How wounds heal,disease,ADAM
HPV (Human Papillomavirus) Gardasil Vaccine - What You Need to Know,disease,ADAM
HPV (Human Papillomavirus) vaccine - what you need to know [Gardasil-9],disease,ADAM
HPV DNA test,disease,ADAM
HPV vaccine,disease,ADAM
HPV vaccine (human papillomavirus) Cervarix - what you need to know,disease,ADAM
Human bites - self-care,disease,ADAM
Humidifiers and health,disease,ADAM
Hump behind the shoulders (Dorsocervical fat pad),disease,ADAM
Hunter syndrome,disease,ADAM
Huntington disease,disease,ADAM
Hurler syndrome,disease,ADAM
Hydatidiform mole,disease,ADAM
Hydramnios,disease,ADAM
Hydrocarbon pneumonia,disease,ADAM
Hydrocele,disease,ADAM
Hydrocele repair,disease,ADAM
Hydrocephalus,disease,ADAM
Hydrochloric acid poisoning,disease,ADAM
Hydrocodone and acetaminophen overdose,disease,ADAM
Hydrocodone/oxycodone overdose,disease,ADAM
Hydrofluoric acid poisoning,disease,ADAM
Hydrogen peroxide poisoning,disease,ADAM
Hydromorphone overdose,disease,ADAM
Hydrops fetalis,disease,ADAM
Hydroxyzine overdose,disease,ADAM
Hyperactivity,disease,ADAM
Hyperactivity and children,disease,ADAM
Hyperactivity and sugar,disease,ADAM
Hyperaldosteronism - primary and secondary,disease,ADAM
Hyperbaric oxygen therapy,disease,ADAM
Hypercalcemia,disease,ADAM
Hypercalcemia - discharge,disease,ADAM
Hyperelastic skin,disease,ADAM
Hyperemesis gravidarum,disease,ADAM
Hyperglycemia - infants,disease,ADAM
Hyperhidrosis,disease,ADAM
Hyperimmunization,disease,ADAM
Hyperimmunoglobulin E syndrome,disease,ADAM
Hyperkalemic periodic paralysis,disease,ADAM
Hypermobile joints,disease,ADAM
Hyperparathyroidism,disease,ADAM
Hyperplasia,disease,ADAM
Hypersensitivity pneumonitis,disease,ADAM
Hypersensitivity vasculitis,disease,ADAM
Hypersplenism,disease,ADAM
Hypertensive heart disease,disease,ADAM
Hyperthermia for treating cancer,disease,ADAM
Hyperthyroidism,disease,ADAM
Hypertrophic cardiomyopathy,disease,ADAM
Hyperventilation,disease,ADAM
Hyperviscosity - newborn,disease,ADAM
Hypervitaminosis A,disease,ADAM
Hypervitaminosis D,disease,ADAM
Hyphema,disease,ADAM
Hypochromia,disease,ADAM
Hypogonadism,disease,ADAM
Hypogonadotropic hypogonadism,disease,ADAM
Hypokalemic periodic paralysis,disease,ADAM
Hypomelanosis of Ito,disease,ADAM
Hypoparathyroidism,disease,ADAM
Hypophosphatemia,disease,ADAM
Hypopituitarism,disease,ADAM
Hypoplastic left heart syndrome,disease,ADAM
Hypospadias,disease,ADAM
Hypospadias repair,disease,ADAM
Hypospadias repair - discharge,disease,ADAM
Hypothalamic dysfunction,disease,ADAM
Hypothalamic tumor,disease,ADAM
Hypothalamus,disease,ADAM
Hypothermia,disease,ADAM
Hypothyroidism,disease,ADAM
Hypotonia,disease,ADAM
Hypoventilation,disease,ADAM
Hypovolemic shock,disease,ADAM
Hysterectomy,disease,ADAM
Hysterectomy - abdominal - discharge,disease,ADAM
Hysterectomy - laparoscopic - discharge,disease,ADAM
Hysterectomy - vaginal - discharge,disease,ADAM
Hysterosalpingography,disease,ADAM
Hysteroscopy,disease,ADAM
Ibuprofen dosing for children,disease,ADAM
Ibuprofen overdose,disease,ADAM
Ichthyosis vulgaris,disease,ADAM
Idiopathic hypercalciuria,disease,ADAM
Idiopathic hypersomnia,disease,ADAM
Idiopathic livedo reticularis,disease,ADAM
Idiopathic pulmonary fibrosis,disease,ADAM
Idiopathic thrombocytopenic purpura (ITP),disease,ADAM
IgA nephropathy,disease,ADAM
Ileostomy,disease,ADAM
Ileostomy - caring for your stoma,disease,ADAM
Ileostomy - changing your pouch,disease,ADAM
Ileostomy - discharge,disease,ADAM
Ileostomy - what to ask your doctor,disease,ADAM
Ileostomy and your child,disease,ADAM
Ileostomy and your diet,disease,ADAM
Iliotibial band syndrome - aftercare,disease,ADAM
Illness anxiety disorder,disease,ADAM
Imaging and radiology,disease,ADAM
Imipramine overdose,disease,ADAM
Immune hemolytic anemia,disease,ADAM
Immune response,disease,ADAM
Immunizations - diabetes,disease,ADAM
Immunodeficiency disorders,disease,ADAM
Immunoelectrophoresis - blood,disease,ADAM
Immunoelectrophoresis - urine,disease,ADAM
Immunofixation - blood,disease,ADAM
Immunofixation -- urine,disease,ADAM
Immunotherapy: questions to ask your doctor,disease,ADAM
Impacted tooth,disease,ADAM
Imperforate anus,disease,ADAM
Imperforate anus repair,disease,ADAM
Imperforate hymen,disease,ADAM
Impetigo,disease,ADAM
Implantable cardioverter defibrillator - discharge,disease,ADAM
Implantable cardioverter-defibrillator,disease,ADAM
In vitro fertilization (IVF),disease,ADAM
Inborn errors of metabolism,disease,ADAM
Incense,disease,ADAM
Incidence,disease,ADAM
Incontinence - resources,disease,ADAM
Incontinentia pigmenti,disease,ADAM
Increased head circumference,disease,ADAM
Increased intracranial pressure,disease,ADAM
Indigestion,disease,ADAM
Indomethacin overdose,disease,ADAM
Indoor fitness routine,disease,ADAM
Inducing labor,disease,ADAM
Industrial bronchitis,disease,ADAM
Indwelling catheter care,disease,ADAM
Infant - newborn development,disease,ADAM
Infant botulism,disease,ADAM
"Infant Formula Buying, Preparing, Storing, and Feeding",disease,ADAM
Infant formulas - overview,disease,ADAM
Infant of a substance-abusing mother,disease,ADAM
Infant of diabetic mother,disease,ADAM
Infant reflexes,disease,ADAM
Infant test/procedure preparation,disease,ADAM
Infectious myringitis,disease,ADAM
Infertility,disease,ADAM
Infertility - resources,disease,ADAM
Inflatable artificial sphincter,disease,ADAM
Influenza (flu) vaccine (Inactivated or Recombinant): What you need to know,disease,ADAM
"Influenza (Flu) vaccine (Live, Intranasal): What you need to know",disease,ADAM
Informed consent - adults,disease,ADAM
Ingrown toenail,disease,ADAM
Inguinal hernia - discharge,disease,ADAM
Inguinal hernia repair,disease,ADAM
Injury - kidney and ureter,disease,ADAM
Ink poisoning,disease,ADAM
Ink remover poisoning,disease,ADAM
Insect bites and stings,disease,ADAM
Insecticide poisoning,disease,ADAM
Insidious,disease,ADAM
Insomnia - overview,disease,ADAM
Inspection,disease,ADAM
Insufficient cervix,disease,ADAM
Insulin C-peptide test,disease,ADAM
Insulinoma,disease,ADAM
Intellectual disability,disease,ADAM
Intercostal retractions,disease,ADAM
Intersex,disease,ADAM
Interstitial cystitis,disease,ADAM
Interstitial cystitis - resources,disease,ADAM
Interstitial keratitis,disease,ADAM
Interstitial lung disease,disease,ADAM
Interstitial lung disease - adults - discharge,disease,ADAM
Interstitial nephritis,disease,ADAM
Intertrigo,disease,ADAM
Intestinal leiomyoma,disease,ADAM
Intestinal obstruction,disease,ADAM
Intestinal obstruction repair,disease,ADAM
Intestinal or bowel obstruction - discharge,disease,ADAM
Intestinal pseudo-obstruction,disease,ADAM
Intracardiac electrophysiology study (EPS),disease,ADAM
Intracranial pressure monitoring,disease,ADAM
Intraductal papilloma,disease,ADAM
Intrauterine,disease,ADAM
Intrauterine devices (IUD),disease,ADAM
Intrauterine growth restriction,disease,ADAM
Intravascular ultrasound,disease,ADAM
Intravenous,disease,ADAM
Intravenous pyelogram,disease,ADAM
Intraventricular hemorrhage of the newborn,disease,ADAM
Intravitreal injection,disease,ADAM
Intrinsic factor,disease,ADAM
Intussusception - children,disease,ADAM
Invasive,disease,ADAM
Iodine in diet,disease,ADAM
Iodine poisoning,disease,ADAM
Ions,disease,ADAM
Iontophoresis,disease,ADAM
IQ testing,disease,ADAM
Iris,disease,ADAM
Iron deficiency anemia,disease,ADAM
Iron in diet,disease,ADAM
Iron overdose,disease,ADAM
Irradiated foods,disease,ADAM
Irregular sleep-wake syndrome,disease,ADAM
Irritable bowel syndrome,disease,ADAM
Irritable bowel syndrome - aftercare,disease,ADAM
Ischemic ulcers - self-care,disease,ADAM
Isolated sleep paralysis,disease,ADAM
Isolation precautions,disease,ADAM
Isopropanol overdose,disease,ADAM
Itching,disease,ADAM
IV treatment at home,disease,ADAM
Jack-in-the-pulpit poisoning,disease,ADAM
Jaundice,disease,ADAM
Jaundice causes,disease,ADAM
Jaw - broken or dislocated,disease,ADAM
Jejunostomy feeding tube,disease,ADAM
Jellyfish stings,disease,ADAM
Jerusalem cherry poisoning,disease,ADAM
Jet lag prevention,disease,ADAM
Jewelry cleaners,disease,ADAM
Jimsonweed poisoning,disease,ADAM
Jock itch,disease,ADAM
Joint fluid Gram stain,disease,ADAM
Joint pain,disease,ADAM
Joint swelling,disease,ADAM
Joint x-ray,disease,ADAM
Juvenile angiofibroma,disease,ADAM
Juvenile idiopathic arthritis,disease,ADAM
Kaposi sarcoma,disease,ADAM
Karyotyping,disease,ADAM
Kawasaki disease,disease,ADAM
Keeping your medicines organized,disease,ADAM
Kegel exercises - self-care,disease,ADAM
Keloids,disease,ADAM
Keratoconus,disease,ADAM
Keratosis obturans,disease,ADAM
Keratosis pilaris,disease,ADAM
Kerosene poisoning,disease,ADAM
Ketones blood test,disease,ADAM
Ketones urine test,disease,ADAM
Ketoprofen overdose,disease,ADAM
Kidney biopsy,disease,ADAM
Kidney disease - resources,disease,ADAM
Kidney function tests,disease,ADAM
Kidney removal,disease,ADAM
Kidney removal - discharge,disease,ADAM
Kidney stones,disease,ADAM
Kidney stones - lithotripsy - discharge,disease,ADAM
Kidney stones - self-care,disease,ADAM
Kidney stones - what to ask your doctor,disease,ADAM
Kidney transplant,disease,ADAM
Kinins,disease,ADAM
Klinefelter syndrome,disease,ADAM
Klippel-Trenaunay syndrome,disease,ADAM
Knee arthroscopy,disease,ADAM
Knee arthroscopy - discharge,disease,ADAM
Knee braces - unloading,disease,ADAM
Knee CT scan,disease,ADAM
Knee joint replacement,disease,ADAM
Knee joint replacement - discharge,disease,ADAM
Knee microfracture surgery,disease,ADAM
Knee MRI scan,disease,ADAM
Knee pain,disease,ADAM
Kneecap dislocation,disease,ADAM
Kneecap dislocation - aftercare,disease,ADAM
Knock knees,disease,ADAM
Krabbe disease,disease,ADAM
Kuru,disease,ADAM
Kwashiorkor,disease,ADAM
Kyphoplasty,disease,ADAM
Kyphosis,disease,ADAM
Labyrinthitis,disease,ADAM
Labyrinthitis - aftercare,disease,ADAM
Laceration - sutures or staples - at home,disease,ADAM
Lacerations - liquid bandage,disease,ADAM
Lacquer poisoning,disease,ADAM
Lacrimal gland tumor,disease,ADAM
Lactate dehydrogenase test,disease,ADAM
Lactic acid test,disease,ADAM
Lactic acidosis,disease,ADAM
Lactose intolerance,disease,ADAM
Lactose tolerance tests,disease,ADAM
Lambert-Eaton syndrome,disease,ADAM
Lamellar ichthyosis,disease,ADAM
Laminectomy,disease,ADAM
Language disorder - children,disease,ADAM
Lanolin poisoning,disease,ADAM
Laparoscopic gastric banding,disease,ADAM
Laparoscopic gastric banding - discharge,disease,ADAM
Large bowel resection,disease,ADAM
Large bowel resection - discharge,disease,ADAM
Large for gestational age (LGA),disease,ADAM
Laryngeal nerve damage,disease,ADAM
Laryngectomy,disease,ADAM
Laryngitis,disease,ADAM
Laryngoscopy,disease,ADAM
Laryngoscopy and nasolarynoscopy,disease,ADAM
Laser photocoagulation - eye,disease,ADAM
Laser surgery - skin,disease,ADAM
Laser therapy,disease,ADAM
Laser therapy for cancer,disease,ADAM
LASIK eye surgery,disease,ADAM
Lasik eye surgery - discharge,disease,ADAM
Lateral,disease,ADAM
Lateral traction,disease,ADAM
Latex agglutination test,disease,ADAM
Latex allergies - for hospital patients,disease,ADAM
Lavender oil,disease,ADAM
Laxative overdose,disease,ADAM
LDH isoenzyme blood test,disease,ADAM
Lead - nutritional considerations,disease,ADAM
Lead and tap water,disease,ADAM
Lead levels - blood,disease,ADAM
Lead poisoning,disease,ADAM
Learn about gluten-free diets,disease,ADAM
Learn to love exercise,disease,ADAM
Learn to manage stress,disease,ADAM
Learn to manage your anger,disease,ADAM
Learning about depression,disease,ADAM
Learning about ventilators,disease,ADAM
Leaving the hospital - your discharge plan,disease,ADAM
Left heart catheterization,disease,ADAM
Left heart ventricular angiography,disease,ADAM
Leg amputation - discharge,disease,ADAM
Leg CT scan,disease,ADAM
Leg lengthening and shortening,disease,ADAM
Leg MRI scan,disease,ADAM
Leg or foot amputation,disease,ADAM
Leg or foot amputation - dressing change,disease,ADAM
Leg pain,disease,ADAM
Legg-Calve-Perthes disease,disease,ADAM
Legionnaire disease,disease,ADAM
Leiomyosarcoma,disease,ADAM
Leishmaniasis,disease,ADAM
LEOPARD syndrome,disease,ADAM
Lepromin skin test,disease,ADAM
Leprosy,disease,ADAM
Leptospirosis,disease,ADAM
Lesch-Nyhan syndrome,disease,ADAM
Leucine aminopeptidase - urine,disease,ADAM
Leucine aminopeptidase blood test,disease,ADAM
Leukemia,disease,ADAM
Leukemia - resources,disease,ADAM
Leukemoid reaction,disease,ADAM
Leukocyte esterase urine test,disease,ADAM
Leukoplakia,disease,ADAM
Leydig cell tumor,disease,ADAM
LH response to GnRH blood test,disease,ADAM
Lichen planus,disease,ADAM
Lichen simplex chronicus,disease,ADAM
Lichenified,disease,ADAM
Life after weight-loss surgery,disease,ADAM
Lifting and bending the right way,disease,ADAM
Lighter fluid poisoning,disease,ADAM
Lily of the valley,disease,ADAM
Limb plethysmography,disease,ADAM
Limb-girdle muscular dystrophies,disease,ADAM
Limited range of motion,disease,ADAM
Lip moisturizer poisoning,disease,ADAM
Lipase test,disease,ADAM
Lipofuscin,disease,ADAM
Lipoprotein-a,disease,ADAM
Liposuction,disease,ADAM
Liquid medication administration,disease,ADAM
Liquid nitrogen,disease,ADAM
Listeriosis,disease,ADAM
Lithium toxicity,disease,ADAM
Lithotripsy,disease,ADAM
Liver biopsy,disease,ADAM
Liver cancer - hepatocellular carcinoma,disease,ADAM
Liver disease,disease,ADAM
Liver disease - resources,disease,ADAM
Liver function tests,disease,ADAM
Liver metastases,disease,ADAM
Liver scan,disease,ADAM
Liver spots,disease,ADAM
Liver transplant,disease,ADAM
Living with a chronic illness - dealing with feelings,disease,ADAM
Living with a chronic illness - reaching out to others,disease,ADAM
Living with endometriosis,disease,ADAM
Living with hearing loss,disease,ADAM
Living with heart disease and angina,disease,ADAM
Living with uterine fibroids,disease,ADAM
Living with vision loss,disease,ADAM
Living with your ileostomy,disease,ADAM
Lomotil overdose,disease,ADAM
Long bones,disease,ADAM
Long term complications of diabetes,disease,ADAM
Lordosis,disease,ADAM
Losing weight after pregnancy,disease,ADAM
Loss of a child - resources,disease,ADAM
Loss of a spouse - resources,disease,ADAM
Loss of brain function - liver disease,disease,ADAM
Low back pain - acute,disease,ADAM
Low back pain - chronic,disease,ADAM
Low blood pressure,disease,ADAM
Low blood sugar,disease,ADAM
Low blood sugar - newborns,disease,ADAM
Low calcium level - infants,disease,ADAM
Low magnesium level,disease,ADAM
Low nasal bridge,disease,ADAM
Low potassium level,disease,ADAM
Low sodium level,disease,ADAM
Low white blood cell count and cancer,disease,ADAM
Low-calorie cocktails,disease,ADAM
Low-fiber diet,disease,ADAM
Low-salt diet,disease,ADAM
Lower esophageal ring,disease,ADAM
Ludwigs angina,disease,ADAM
Lumbar MRI scan,disease,ADAM
Lumbar spine CT scan,disease,ADAM
Lumbosacral spine CT,disease,ADAM
Lumbosacral spine x-ray,disease,ADAM
Lump in the abdomen,disease,ADAM
Lung cancer,disease,ADAM
Lung cancer - non-small cell,disease,ADAM
Lung cancer - small cell,disease,ADAM
Lung diffusion testing,disease,ADAM
Lung disease,disease,ADAM
Lung disease - resources,disease,ADAM
Lung gallium scan,disease,ADAM
Lung metastases,disease,ADAM
Lung needle biopsy,disease,ADAM
Lung PET scan,disease,ADAM
Lung plethysmography,disease,ADAM
Lung problems and volcanic smog,disease,ADAM
Lung surgery,disease,ADAM
Lung surgery - discharge,disease,ADAM
Lung transplant,disease,ADAM
Lupus - resources,disease,ADAM
Lupus anticoagulants and antiphospholipid antibodies,disease,ADAM
Lupus nephritis,disease,ADAM
Luteinizing hormone (LH) blood test,disease,ADAM
Lyme disease,disease,ADAM
Lyme disease - what to ask your doctor,disease,ADAM
Lyme disease blood test,disease,ADAM
Lymph node biopsy,disease,ADAM
Lymph node culture,disease,ADAM
Lymph system,disease,ADAM
Lymphadenitis,disease,ADAM
Lymphangiogram,disease,ADAM
Lymphangitis,disease,ADAM
Lymphatic obstruction,disease,ADAM
Lymphedema,disease,ADAM
Lymphofollicular hyperplasia,disease,ADAM
Lymphogranuloma venereum,disease,ADAM
Lymphoid hyperplasia,disease,ADAM
Macroamylasemia,disease,ADAM
Macroglobulinemia of Waldenstrom,disease,ADAM
Macroglossia,disease,ADAM
Macrosomia,disease,ADAM
Macula lutea,disease,ADAM
Macular degeneration - age-related,disease,ADAM
Macule,disease,ADAM
Magnesium blood test,disease,ADAM
Magnesium in diet,disease,ADAM
Magnetic resonance angiography,disease,ADAM
Major depression,disease,ADAM
Major depression with psychotic features,disease,ADAM
Make peak flow a habit!,disease,ADAM
Make the most of your doctor visit,disease,ADAM
Make time to move,disease,ADAM
Making everyday tasks easier - arthritis,disease,ADAM
Malabsorption,disease,ADAM
Malaise,disease,ADAM
Malaria,disease,ADAM
Malathion poisoning,disease,ADAM
Male pattern baldness,disease,ADAM
Malignancy,disease,ADAM
Malignant hypertension,disease,ADAM
Malignant hyperthermia,disease,ADAM
Malignant otitis externa,disease,ADAM
Malignant teratoma,disease,ADAM
Mallet finger - aftercare,disease,ADAM
Mallory-Weiss tear,disease,ADAM
Malnutrition,disease,ADAM
Malocclusion of teeth,disease,ADAM
Mammogram - calcifications,disease,ADAM
Mammography,disease,ADAM
Managing latex allergies at home,disease,ADAM
Managing menopause at home,disease,ADAM
Managing migraines at home,disease,ADAM
Managing pain during labor,disease,ADAM
Managing tension headaches at home,disease,ADAM
Managing your blood sugar,disease,ADAM
Managing your chronic back pain,disease,ADAM
Managing your depression - teens,disease,ADAM
Managing your weight gain during pregnancy,disease,ADAM
Managing your weight with healthy eating,disease,ADAM
Maple syrup urine disease,disease,ADAM
Marfan syndrome,disease,ADAM
Marijuana intoxication,disease,ADAM
Marine animal stings or bites,disease,ADAM
Mastectomy,disease,ADAM
Mastectomy - discharge,disease,ADAM
Mastectomy and breast reconstruction - what to ask your doctor,disease,ADAM
Mastoidectomy,disease,ADAM
Mastoiditis,disease,ADAM
Mathematics disorder,disease,ADAM
Maximizing your teaching moment,disease,ADAM
McArdle syndrome,disease,ADAM
McCune-Albright syndrome,disease,ADAM
Measles,disease,ADAM
Meatal stenosis,disease,ADAM
Mechanical ventilator - infants,disease,ADAM
Meckel's diverticulum,disease,ADAM
Meckels diverticulectomy,disease,ADAM
Meclofenamate overdose,disease,ADAM
Meconium aspiration syndrome,disease,ADAM
Medial,disease,ADAM
Medial epicondylitis - golfer's elbow,disease,ADAM
Mediastinal tumor,disease,ADAM
Mediastinitis,disease,ADAM
Mediastinoscopy with biopsy,disease,ADAM
Medical marijuana,disease,ADAM
Medication safety during your hospital stay,disease,ADAM
Medication safety: Filling your prescription,disease,ADAM
Medications for back pain,disease,ADAM
"Medications, injections, and supplements for arthritis",disease,ADAM
Medicine safety and children,disease,ADAM
Medicines for ADHD,disease,ADAM
Medicines for osteoporosis,disease,ADAM
Medicines for sleep,disease,ADAM
Mediterranean diet,disease,ADAM
Medullary carcinoma of thyroid,disease,ADAM
Medullary cystic kidney disease,disease,ADAM
Meibomianitis,disease,ADAM
Melanin,disease,ADAM
Melanoma,disease,ADAM
Melanoma of the eye,disease,ADAM
Melasma,disease,ADAM
Membranoproliferative glomerulonephritis,disease,ADAM
Membranous nephropathy,disease,ADAM
Memory loss,disease,ADAM
Mnire disease,disease,ADAM
Mnires disease,disease,ADAM
Meningitis,disease,ADAM
Meningitis - cryptococcal,disease,ADAM
Meningitis - gram-negative,disease,ADAM
Meningitis - H. influenzae,disease,ADAM
Meningitis - meningococcal,disease,ADAM
Meningitis - pneumococcal,disease,ADAM
Meningitis - staphylococcal,disease,ADAM
Meningitis - tuberculous,disease,ADAM
Meningocele repair,disease,ADAM
Meningococcal ACWY Vaccines - MenACWY and MPSV4: What You Need to Know,disease,ADAM
Meningococcemia,disease,ADAM
Meniscal allograft transplantation,disease,ADAM
Meniscus tears - aftercare,disease,ADAM
Menkes syndrome,disease,ADAM
Menopause,disease,ADAM
Mental status testing,disease,ADAM
Menthol poisoning,disease,ADAM
Meperidine hydrochloride overdose,disease,ADAM
Meprobamate overdose,disease,ADAM
Merbromin poisoning,disease,ADAM
Mercuric chloride poisoning,disease,ADAM
Mercuric oxide poisoning,disease,ADAM
Mercury,disease,ADAM
Merthiolate poisoning,disease,ADAM
Mesenteric angiography,disease,ADAM
Mesenteric artery ischemia,disease,ADAM
Mesenteric venous thrombosis,disease,ADAM
Mesothelioma - benign-fibrous,disease,ADAM
Mesothelioma - malignant,disease,ADAM
Metabolic acidosis,disease,ADAM
Metabolic neuropathies,disease,ADAM
Metabolic syndrome,disease,ADAM
Metabolism,disease,ADAM
Metabolite,disease,ADAM
Metachromatic leukodystrophy,disease,ADAM
Metal cleaner poisoning,disease,ADAM
Metal polish poisoning,disease,ADAM
Metastasis,disease,ADAM
Metastatic brain tumor,disease,ADAM
Metastatic pleural tumor,disease,ADAM
Metatarsal fracture (acute) - aftercare,disease,ADAM
Metatarsal stress fractures - aftercare,disease,ADAM
Metatarsus adductus,disease,ADAM
Methadone overdose,disease,ADAM
Methamphetamine overdose,disease,ADAM
Methanol poisoning,disease,ADAM
Methanol test,disease,ADAM
Methapyrilene hydrochloride overdose,disease,ADAM
Methemoglobinemia,disease,ADAM
Methemoglobinemia - acquired,disease,ADAM
Methyl salicylate overdose,disease,ADAM
Methylene blue test,disease,ADAM
Methylmalonic acid blood test,disease,ADAM
Methylmalonic acidemia,disease,ADAM
Methylmercury poisoning,disease,ADAM
Metopic ridge,disease,ADAM
MIBG scintiscan,disease,ADAM
Microalbuminuria test,disease,ADAM
Microcephaly,disease,ADAM
Micrognathia,disease,ADAM
Middle East Respiratory Syndrome (MERS),disease,ADAM
Migraine,disease,ADAM
Migraine - resources,disease,ADAM
Mildew remover poisoning,disease,ADAM
Milia,disease,ADAM
Milk-alkali syndrome,disease,ADAM
Millipede toxin,disease,ADAM
Mineral oil overdose,disease,ADAM
Mineral spirits poisoning,disease,ADAM
Minimal change disease,disease,ADAM
Minimally invasive hip replacement,disease,ADAM
Minor burns - aftercare,disease,ADAM
Miscarriage,disease,ADAM
Miscarriage - threatened,disease,ADAM
Mistletoe poisoning,disease,ADAM
Mitral stenosis,disease,ADAM
Mitral valve prolapse,disease,ADAM
Mitral valve regurgitation,disease,ADAM
Mitral valve surgery - minimally invasive,disease,ADAM
Mitral valve surgery - open,disease,ADAM
Mittelschmerz,disease,ADAM
"MMR (measles, mumps,and rubella) vaccine - what you need to know",disease,ADAM
"MMRV (measles, mumps, rubella,and varicella) vaccine - what you need to know",disease,ADAM
Mohs micrographic surgery,disease,ADAM
Molluscum contagiosum,disease,ADAM
Mongolian blue spots,disease,ADAM
Monitoring your baby before labor,disease,ADAM
Mononeuritis multiplex,disease,ADAM
Mononeuropathy,disease,ADAM
Mononucleosis,disease,ADAM
Mononucleosis spot test,disease,ADAM
Morning sickness,disease,ADAM
